Financial Year,Quarter Ending,HSC Trust,Hospital,Programme of Care,Specialty,Total Available Beds,Average Available Beds,Total Occupied Beds,Average Occupied Beds,Total Inpatients,Total Day Case,Elective Inpatient,Non Elective Inpatient,Day Case,Regular Attenders
2009-2010,31-Dec-09,Belfast,Mater Infirmorum,Acute Services,Pain Management,0,0,0,0,0,78,0,0,78,0
2009-2010,31-Dec-09,Belfast,Mater Infirmorum,Acute Services,Urology,512,1.4,407,1.1,167,161,157,10,161,0
2009-2010,31-Dec-09,Belfast,Mater Infirmorum,Elderly Care,Old Age Psychiatry,617,1.7,617,1.7,16,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,Mater Infirmorum,Maternity & Child Health,Obstetrics,"2,075",5.7,825,2.3,377,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,Mater Infirmorum,Maternity & Child Health,Well Babies Obs,582,1.6,582,1.6,302,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,Mater Infirmorum,Mental Health,Mental Illness,"4,335",11.9,"3,608",9.9,76,34,0,0,0,0
2009-2010,31-Dec-09,Belfast,Muckamore Abbey,Learning Disability,Learning Disability,"23,460",64.3,"22,340",61.2,31,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,Musgrave Park,Acute Services,Rehabilitation,"4,416",12.1,"3,623",9.9,75,557,65,10,557,0
2009-2010,31-Dec-09,Belfast,Musgrave Park,Acute Services,Rheumatology,"1,743",4.8,"1,153",3.2,148,"1,506",116,32,"1,506",0
2009-2010,31-Dec-09,Belfast,Musgrave Park,Acute Services,Trauma & Orthopaedics Surgery,"8,807",24.1,"7,075",19.4,"1,499",893,"1,422",77,893,0
2009-2010,31-Dec-09,Belfast,Musgrave Park,Elderly Care,Geriatric Medicine,"6,136",16.8,"5,304",14.5,152,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,Clinical Oncology,"4,751",13,"4,732",13,608,"1,065",473,135,"1,065",0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,Ear Nose Throat,17,0,17,0,0,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,General Medicine,54,0.1,54,0.1,5,0,0,5,0,0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,General Surgery,1,0,1,0,1,0,0,1,0,0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,Haematology Clinical,611,1.7,611,1.7,64,"1,215",5,59,"1,215",0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,Medical Oncology,"2,380",6.5,"1,458",4,288,"1,102",214,74,"1,102",0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Acute Services,Palliative Medicine,4,0,4,0,1,0,0,1,0,0
2009-2010,31-Dec-09,Belfast,NI Cancer Centre,Elderly Care,Geriatric Medicine,21,0.1,21,0.1,1,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,RBHSC,Acute Services,Anaesthetics,759,2.1,635,1.7,24,0,2,22,0,0
2009-2010,31-Dec-09,Belfast,RBHSC,Acute Services,Paediatrics,"8,000",21.9,"6,828",18.7,"1,493",995,490,"1,003",995,0
2009-2010,31-Dec-09,Belfast,Royal Maternity,Acute Services,Haematology Clinical,0,0,0,0,0,1,0,0,1,0
2009-2010,31-Dec-09,Belfast,Royal Maternity,Acute Services,Paediatrics,"4,140",11.3,"2,592",7.1,96,0,0,96,0,0
2009-2010,31-Dec-09,Belfast,Royal Maternity,Maternity & Child Health,Obstetrics,"6,469",17.7,"5,146",14.1,"1,687",277,0,0,0,0
2009-2010,31-Dec-09,Belfast,Royal Maternity,Maternity & Child Health,Well Babies Paed,"4,700",12.9,"2,493",6.8,"1,186",0,0,0,0,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Accident & Emergency,235,0.6,235,0.6,402,0,0,402,0,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Anaesthetics,"2,309",6.3,"2,010",5.5,40,0,3,37,0,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Cardiac Surgery,"3,980",10.9,"2,634",7.2,239,0,208,31,0,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Cardiology,"5,157",14.1,"3,979",10.9,671,578,306,365,578,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Dermatology,0,0,0,0,0,105,0,0,105,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Ear Nose Throat,"1,816",5,"1,420",3.9,600,265,479,121,265,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Endocrinology,"1,118",3.1,994,2.7,169,30,76,93,30,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Gastroenterology,306,0.8,306,0.8,38,367,20,18,367,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,General Medicine,"9,502",26,"8,746",24,"1,391",798,113,"1,278",798,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,General Surgery,"7,998",21.9,"7,057",19.3,"1,127",489,511,616,489,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Genito-Urinary Medicine,57,0.2,57,0.2,3,1,2,1,1,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Gynaecology,"1,283",3.5,725,2,415,183,134,281,183,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Infectious Diseases,220,0.6,89,0.2,9,0,2,7,0,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Neurology,"2,433",6.7,"2,364",6.5,149,161,63,86,161,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Neurosurgery,"3,973",10.9,"3,856",10.6,332,30,137,195,30,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Ophthalmology,"1,213",3.3,779,2.1,359,"1,629",265,94,"1,629",0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Oral Surgery,340,0.9,105,0.3,67,10,55,12,10,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Plastic Surgery,674,1.8,622,1.7,49,60,21,28,60,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Radiology,0,0,0,0,0,42,0,0,42,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Rheumatology,0,0,0,0,0,450,0,0,450,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Thoracic Surgery,"1,764",4.8,"1,394",3.8,188,103,145,43,103,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Trauma & Orthopaedics Surgery,"8,716",23.9,"8,427",23.1,844,38,93,751,38,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Acute Services,Urology,0,0,0,0,0,52,0,0,52,0
2009-2010,31-Dec-09,Belfast,Royal Victoria,Elderly Care,Geriatric Medicine,"7,233",19.8,"6,370",17.5,480,0,0,0,0,0
2009-2010,31-Dec-09,Belfast,Windsor House,Mental Health,Mental Illness,"3,220",8.8,"2,687",7.4,56,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Accident & Emergency,"2,053",5.6,416,1.1,310,0,0,310,0,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Anaesthetics,752,2.1,674,1.8,18,0,1,17,0,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Cardiology,"3,143",8.6,"2,812",7.7,548,30,9,539,30,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Clinical Oncology,2,0,2,0,0,400,0,0,400,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Ear Nose Throat,641,1.8,538,1.5,320,90,225,95,90,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Gastroenterology,526,1.4,526,1.4,58,406,31,27,406,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,General Medicine,"13,206",36.2,"12,720",34.8,"1,741",72,40,"1,701",72,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,General Practice Other,1,0,1,0,0,92,0,0,92,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,General Surgery,"5,934",16.3,"5,391",14.8,929,351,231,698,351,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Gynaecology,"1,243",3.4,984,2.7,354,97,220,134,97,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Haematology Clinical,205,0.6,205,0.6,26,167,12,14,167,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Infectious Diseases,577,1.6,200,0.5,127,0,0,127,0,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Medical Oncology,0,0,0,0,2,208,0,2,208,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Nephrology,"2,764",7.6,"1,524",4.2,574,"4,171",543,31,0,"4,171"
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Oral Surgery,0,0,0,0,0,13,0,0,13,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Paediatrics,"2,971",8.1,"2,391",6.6,708,0,25,683,0,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Pain Management,0,0,0,0,0,77,0,0,77,0
2009-2010,31-Dec-09,Northern,Antrim,Acute Services,Rheumatology,156,0.4,80,0.2,8,66,7,1,66,0
2009-2010,31-Dec-09,Northern,Antrim,Elderly Care,Geriatric Medicine,64,0.2,43,0.1,4,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Antrim,Maternity & Child Health,Obstetrics,"4,236",11.6,"2,529",6.9,836,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Antrim,Maternity & Child Health,Well Babies Obs,"3,407",9.3,"1,373",3.8,636,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Braid Valley,Acute Services,General Medicine,43,0.1,43,0.1,2,0,0,2,0,0
2009-2010,31-Dec-09,Northern,Braid Valley,Acute Services,Nephrology,5,0,5,0,0,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Braid Valley,Acute Services,Palliative Medicine,362,1,329,0.9,8,0,1,7,0,0
2009-2010,31-Dec-09,Northern,Braid Valley,Elderly Care,Geriatric Medicine,"2,903",8,"2,288",6.3,74,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Cardiology,"1,149",3.1,"1,149",3.1,273,13,10,263,13,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Dermatology,98,0.3,67,0.2,4,49,1,3,49,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Ear Nose Throat,0,0,0,0,0,52,0,0,52,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Endocrinology,55,0.2,55,0.2,15,0,1,14,0,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,General Medicine,"8,582",23.5,"7,743",21.2,801,320,35,766,320,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,General Practice Other,0,0,0,0,0,167,0,0,167,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,General Surgery,"4,391",12,"3,182",8.7,733,535,210,523,535,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Gynaecology,743,2,507,1.4,200,154,122,78,154,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Haematology,0,0,0,0,0,14,0,0,14,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Paediatrics,850,2.3,458,1.3,477,0,16,461,0,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Pain Management,2,0,2,0,3,146,2,1,146,0
2009-2010,31-Dec-09,Northern,Causeway,Acute Services,Urology,914,2.5,914,2.5,317,409,225,92,409,0
2009-2010,31-Dec-09,Northern,Causeway,Elderly Care,Old Age Psychiatry,626,1.7,632,1.7,4,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Causeway,Maternity & Child Health,Obstetrics,"2,055",5.6,"1,249",3.4,479,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Causeway,Maternity & Child Health,Well Babies Obs,"1,449",4,736,2,340,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Causeway,Mental Health,Mental Illness,"2,318",6.4,"2,700",7.4,55,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Dalriada,Acute Services,General Practice Other,"2,944",8.1,"2,180",6,109,0,65,44,0,0
2009-2010,31-Dec-09,Northern,Holywell,Elderly Care,Old Age Psychiatry,"5,888",16.1,"5,383",14.7,25,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Holywell,Mental Health,Mental Illness,"13,864",38,"12,442",34.1,177,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Ear Nose Throat,10,0,10,0,12,47,12,0,47,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Gastroenterology,0,0,0,0,0,96,0,0,96,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,General Medicine,"7,553",20.7,"6,874",18.8,576,144,13,563,144,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,General Practice Other,0,0,0,0,0,72,0,0,72,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,General Surgery,627,1.7,386,1.1,75,409,23,52,409,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Gynaecology,0,0,0,0,1,117,1,0,117,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Haematology Clinical,0,0,0,0,0,12,0,0,12,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Neurology,0,0,0,0,0,3,0,0,3,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Oral Surgery,0,0,0,0,0,1,0,0,1,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Paediatrics,0,0,0,0,0,2,0,0,2,0
2009-2010,31-Dec-09,Northern,Mid Ulster,Acute Services,Pain Management,0,0,0,0,2,0,1,1,0,0
2009-2010,31-Dec-09,Northern,Moyle,Acute Services,General Practice Other,"1,656",4.5,"1,136",3.1,29,0,1,28,0,0
2009-2010,31-Dec-09,Northern,Robinson Memorial,Acute Services,General Practice Other,"2,300",6.3,"1,824",5,36,0,7,29,0,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,Cardiology,876,2.4,867,2.4,205,9,3,202,9,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,Dermatology,172,0.5,41,0.1,5,24,4,1,24,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,Ear Nose Throat,0,0,0,0,0,36,0,0,36,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,Gastroenterology,115,0.3,115,0.3,26,405,13,13,405,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,General Medicine,"4,442",12.2,"3,474",9.5,320,3,4,316,3,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,General Surgery,649,1.8,231,0.6,43,349,17,26,349,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,Gynaecology,0,0,0,0,9,109,9,0,109,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Acute Services,Pain Management,0,0,0,0,0,24,0,0,24,0
2009-2010,31-Dec-09,Northern,Whiteabbey,Elderly Care,Geriatric Medicine,"2,709",7.4,"2,225",6.1,85,0,0,0,0,0
2009-2010,31-Dec-09,Northern,Whiteabbey PNU,Mental Health,Mental Illness,"1,105",3,794,2.2,18,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,Accident & Emergency,186,0.5,105,0.3,6,0,0,6,0,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,General Medicine,0,0,0,0,2,96,0,2,96,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,General Practice Other,"1,654",4.5,"1,288",3.5,91,0,0,91,0,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,General Surgery,0,0,0,0,0,704,0,0,704,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,Gynaecology,0,0,0,0,5,294,5,0,294,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,Nephrology,0,0,0,0,0,3,0,0,3,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,Plastic Surgery,0,0,0,0,0,20,0,0,20,0
2009-2010,31-Dec-09,South Eastern,Ards,Acute Services,Urology,0,0,0,0,0,450,0,0,450,0
2009-2010,31-Dec-09,South Eastern,Bangor,Acute Services,General Practice Other,"1,840",5,"1,565",4.3,120,0,1,119,0,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Accident & Emergency,433,1.2,108,0.3,148,0,0,148,0,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Ear Nose Throat,0,0,0,0,0,8,0,0,8,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Gastroenterology,0,0,0,0,0,51,0,0,51,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,General Medicine,"5,025",13.8,"4,302",11.8,812,61,0,812,61,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,General Practice Other,0,0,0,0,0,77,0,0,77,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,General Surgery,0,0,0,0,0,384,0,0,384,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Gynaecology,0,0,0,0,0,37,0,0,37,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Ophthalmology,0,0,0,0,0,53,0,0,53,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Trauma & Orthopaedics Surgery,0,0,0,0,0,30,0,0,30,0
2009-2010,31-Dec-09,South Eastern,Downe,Acute Services,Urology,0,0,0,0,0,66,0,0,66,0
2009-2010,31-Dec-09,South Eastern,Downe,Elderly Care,Geriatric Medicine,431,1.2,338,0.9,17,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Downshire,Elderly Care,Old Age Psychiatry,"3,588",9.8,"3,224",8.8,30,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Downshire,Mental Health,Mental Illness,"8,556",23.4,"7,840",21.5,117,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Ear Nose Throat,0,0,0,0,0,21,0,0,21,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,General Medicine,"5,884",16.1,"5,056",13.9,985,267,24,961,267,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,General Practice Other,0,0,0,0,0,101,0,0,101,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,General Surgery,633,1.7,73,0.2,70,614,70,0,614,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Gynaecology,720,2,230,0.6,129,186,88,41,186,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Neurosurgery,0,0,0,0,0,46,0,0,46,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Ophthalmology,2,0,2,0,2,137,2,0,137,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Paediatrics,184,0.5,0,0,12,0,0,12,0,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Plastic Surgery,0,0,0,0,0,33,0,0,33,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Acute Services,Urology,0,0,0,0,0,116,0,0,116,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Elderly Care,Geriatric Medicine,"2,587",7.1,"2,168",5.9,125,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Maternity & Child Health,Obstetrics,"1,840",5,660,1.8,310,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley,Maternity & Child Health,Well Babies Paed,"1,288",3.5,441,1.2,254,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley PNU,Elderly Care,Old Age Psychiatry,"1,472",4,"1,354",3.7,29,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Lagan Valley PNU,Mental Health,Mental Illness,"2,208",6,"2,012",5.5,91,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Thompson House,Acute Services,Neurology,"3,220",8.8,"2,854",7.8,66,0,64,2,0,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Accident & Emergency,926,2.5,527,1.4,668,0,0,668,0,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Anaesthetics,984,2.7,688,1.9,32,0,1,31,0,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Cardiology,"2,352",6.4,"2,100",5.8,476,9,30,446,9,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Clinical Oncology,0,0,0,0,0,538,0,0,37,501
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Dermatology,0,0,0,0,0,830,0,0,830,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Ear Nose Throat,391,1.1,95,0.3,96,125,88,8,125,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,General Medicine,"12,302",33.7,"11,712",32.1,"1,571",535,90,"1,481",534,1
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,General Practice Other,0,0,0,0,0,252,0,0,252,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,General Surgery,"6,495",17.8,"5,532",15.2,993,154,338,655,153,1
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Gynaecology,"1,431",3.9,"1,029",2.8,398,25,246,152,25,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Haematology Clinical,691,1.9,667,1.8,102,526,47,55,38,488
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Nephrology,194,0.5,194,0.5,25,"3,504",8,17,7,"3,497"
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Neurology,0,0,0,0,0,1,0,0,1,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Oral Surgery,578,1.6,578,1.6,231,43,91,140,43,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Paediatric Surgery,1,0,1,0,5,164,1,4,164,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Paediatrics,"3,453",9.5,"2,513",6.9,"1,043",133,5,"1,038",133,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Pain Management,0,0,0,0,1,119,0,1,119,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Plastic Surgery,"2,065",5.7,"1,572",4.3,493,370,170,323,370,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Trauma & Orthopaedics Surgery,"4,235",11.6,"3,584",9.8,366,16,97,269,16,0
2009-2010,31-Dec-09,South Eastern,Ulster,Acute Services,Urology,693,1.9,690,1.9,174,6,98,76,1,5
2009-2010,31-Dec-09,South Eastern,Ulster,Elderly Care,Geriatric Medicine,"7,161",19.6,"6,916",18.9,445,114,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Ulster,Maternity & Child Health,Obstetrics,"3,203",8.8,"2,260",6.2,882,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Ulster,Maternity & Child Health,Well Babies Obs,"3,054",8.4,"1,304",3.6,704,0,0,0,0,0
2009-2010,31-Dec-09,South Eastern,Ulster MHU,Mental Health,Mental Illness,"2,449",6.7,"2,444",6.7,69,0,0,0,0,0
2009-2010,31-Dec-09,Southern,Banbridge,Acute Services,General Medicine,0,0,0,0,0,3,0,0,3,0
2009-2010,31-Dec-09,Southern,Banbridge,Acute Services,Rheumatology,0,0,0,0,0,237,0,0,237,0
2009-2010,31-Dec-09,Southern,Bluestone,Elderly Care,Old Age Psychiatry,"1,840",5,"1,256",3.4,30,0,0,0,0,0
2009-2010,31-Dec-09,Southern,Bluestone,Mental Health,Child & Adolescent Psychiatry,0,0,12,0,3,0,0,0,0,0
2009-2010,31-Dec-09,Southern,Bluestone,Mental Health,Mental Illness,"4,968",13.6,"5,063",13.9,220,0,0,0,0,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Accident & Emergency,532,1.5,324,0.9,547,0,0,547,0,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Anaesthetics,626,1.7,601,1.6,24,0,1,23,0,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Cardiology,"2,714",7.4,"2,269",6.2,634,347,69,565,347,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Clinical Oncology,0,0,0,0,1,633,1,0,47,586
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Dermatology,239,0.7,239,0.7,42,86,35,7,86,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Ear Nose Throat,"1,002",2.7,609,1.7,507,276,367,140,276,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Gastroenterology,12,0,12,0,15,197,13,2,197,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,General Medicine,"10,285",28.2,"8,136",22.3,"1,536",51,18,"1,518",51,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,General Practice Other,0,0,0,0,0,138,0,0,138,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,General Surgery,"7,439",20.4,"5,719",15.7,"1,313",625,391,922,625,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Gynaecology,"1,578",4.3,824,2.3,442,166,263,179,166,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Haematology Clinical,675,1.8,508,1.4,71,452,33,38,209,243
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Neurology,1,0,1,0,1,13,0,1,13,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Oral Surgery,0,0,0,0,0,19,0,0,19,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Paediatrics,"3,421",9.4,"2,505",6.9,782,11,4,778,11,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Rheumatology,45,0.1,45,0.1,7,330,2,5,330,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Thoracic Medicine,1,0,1,0,4,162,4,0,162,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Trauma & Orthopaedics Surgery,"2,724",7.5,"1,878",5.1,336,139,216,120,139,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Acute Services,Urology,"1,893",5.2,"1,482",4.1,376,376,228,148,313,63
2009-2010,31-Dec-09,Southern,Craigavon Area,Elderly Care,Geriatric Medicine,"2,919",8,"2,801",7.7,347,0,0,0,0,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Maternity & Child Health,Obstetrics,"4,503",12.3,"3,169",8.7,"1,211",0,0,0,0,0
2009-2010,31-Dec-09,Southern,Craigavon Area,Maternity & Child Health,Well Babies Paed,"3,773",10.3,"1,875",5.1,954,0,0,0,0,0
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,Cardiology,"1,059",2.9,771,2.1,273,8,2,271,8,0
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,Dermatology,1,0,1,0,1,48,0,1,48,0
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,Ear Nose Throat,342,0.9,7,0,12,88,12,0,88,0
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,Endocrinology,1,0,1,0,3,0,0,3,0,0
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,General Medicine,"6,040",16.5,"4,896",13.4,869,150,34,835,149,1
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,General Practice Other,0,0,0,0,0,222,0,0,222,0
2009-2010,31-Dec-09,Southern,Daisy Hill,Acute Services,General Surgery,"4,499",12.3,"3,433",9.4,887,621,166,721,621,0
